2024-10-21 09:16:05.708742 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 

2024-10-22 19:38:10.935769 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
 
2024-10-23 19:39:02.435767 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
